uuid,idschemelabel,identifier
0000c7c3-5605-42e5-a63b-8f835387f54a,Wikidata ID,Q76455354
00010b36-e488-4935-a680-11d523e50346,Old Accession Number,B-32618
00014596-be9d-4d92-af90-9aa6d391a503,Old Accession Number,B-6050
00014596-be9d-4d92-af90-9aa6d391a503,Wikidata ID,Q64957782
00021528-cc97-4eb3-8ab8-bba62ec506b5,Old Accession Number,B-26790.K
00021528-cc97-4eb3-8ab8-bba62ec506b5,Wikidata ID,Q65576408
0002f3b4-6288-4e90-9066-9bff025cbca3,Old Accession Number,I-16309
0002f3b4-6288-4e90-9066-9bff025cbca3,Wikidata ID,Q64592695
000301a6-a203-49e7-b562-b15f30429976,Old Accession Number,B-2963
000301a6-a203-49e7-b562-b15f30429976,Wikidata ID,Q64952544
0003880f-2eab-404a-bc9c-c61e67d1e26a,Wikidata ID,Q115770973
0003f737-b8d9-4c92-a567-6ac41154790e,Wikidata ID,Q75415861
00053ccc-a45e-45bf-878b-d561f6790c21,Wikidata ID,Q76357020
00058794-7eef-4dd8-b098-272bf0a40b99,Wikidata ID,Q74069857
0006fb4b-c373-4ae7-bed6-81d4a2de4e00,ULAN ID,500122638
0006fb4b-c373-4ae7-bed6-81d4a2de4e00,Wikidata ID,Q979236
00078a74-3dd5-48ad-a915-a472ac1c0e76,Wikidata ID,Q63860893
0007bd32-fd30-4ba4-ba31-f2e9b831d1ff,ULAN ID,500015267
00084b76-2f2a-448a-9488-a744daae2919,Old Accession Number,B-16954
00084b76-2f2a-448a-9488-a744daae2919,Wikidata ID,Q65215171
00084d51-42b6-4139-b802-a7834e009778,Wikidata ID,Q64145195
00090687-72ea-4edd-a765-b9381d91aba5,Wikidata ID,Q46626460
00097df6-cb5c-42ff-818f-b3ef36ce12ca,Old Accession Number,B-15463
00097df6-cb5c-42ff-818f-b3ef36ce12ca,Wikidata ID,Q65074447
000ad9d3-2e05-4116-9100-a46f4e317ccb,Wikidata ID,Q76456279
000ae529-6a96-453e-8446-0615f75faf9a,Wikidata ID,Q64591838
000b5303-b4f0-4aa2-baaa-24d4ff0199a0,Wikidata ID,Q77263346
000cdf87-b2d5-4e00-b2b8-66bf82b5b243,Wikidata ID,Q64537798
000d4357-0b00-4fa6-87b8-c31159e59399,Old Accession Number,A-1508
000d4357-0b00-4fa6-87b8-c31159e59399,Old Accession Number,C-120
000d4357-0b00-4fa6-87b8-c31159e59399,Wikidata ID,Q63810116
000d66a9-f402-4a45-ab12-7a565380c7a1,Wikidata ID,Q64591466
000ded2c-e247-4c96-9efe-beb4308fe398,Old Accession Number,I-12645
000ded2c-e247-4c96-9efe-beb4308fe398,Wikidata ID,Q64615418
000e31d2-02cd-4f68-9d48-088f5948f8f5,Wikidata ID,Q75396448
000ee19d-2715-42b2-9eda-b6844b63baf5,Wikidata ID,Q74893137
000fcfe9-b51f-4470-9b36-8bac0ef36728,Old Accession Number,B-21519
000fcfe9-b51f-4470-9b36-8bac0ef36728,Wikidata ID,Q65225814
000fe8fb-4ae4-4940-8ee8-f5fc74b2a719,Wikidata ID,Q76558480
0011500e-347d-4fde-877b-50f7347d11c5,Old Accession Number,I-18044
0011500e-347d-4fde-877b-50f7347d11c5,Wikidata ID,Q64535509
001171c8-011d-4a20-bcb5-43bf1d3e4514,Wikidata ID,Q76454764
0011e463-b530-4d54-ad1b-03c744ffeec4,Wikidata ID,Q64556368
