constituentid,uuid,ulanid,preferreddisplayname,forwarddisplayname,lastname,displaydate,artistofngaobject,beginyear,endyear,visualbrowsertimespan,nationality,visualbrowsernationality,constituenttype,wikidataid
9,57edbe2d-6702-4d41-9190-2a2945bc2c89,,Anonymous,Anonymous,,Anonymous,0,,,,,Other,anonymous,
11,125c640d-e39b-4ae4-8455-f0b5e913c09e,,"Baldung, Hans",Hans Baldung,Baldung,,1,,,,,Other,individual,
12,e4d45117-9800-4315-9184-916c53e64c8d,500115983,National Gallery of Art,National Gallery of Art,,,0,,,,,Other,corporate,Q214867
13,7331a3f2-50fd-4838-b41d-f8013eb2456c,,Anonymous Artist,Anonymous Artist,Anonymous Artist,,1,,,,Unknown,Other,anonymous,Q4233718
14,6b4e3681-b09e-4cbd-9f3c-ff7830173c59,,"Evans, Thomas M., Mrs.",Mrs. Thomas M. Evans,Evans,"American, 1923 - 2013",0,1923,2013,1901 to 1925,American,American,individual,
15,15007694-2836-43aa-be66-d1041261180e,,"Haupt, Enid Annenberg",Enid Annenberg Haupt,Haupt,1906 - 2005,0,1906,2005,1901 to 1925,,Other,individual,
16,ed89b76a-bb49-4798-b46a-8bdaad16971b,,"Altschul, Arthur G., Mr.",Mr. Arthur G. Altschul,Altschul,"American, 1920 - 2002",0,1920,2002,1901 to 1925,American,American,individual,
17,97bd747d-94a6-4398-bc51-59ff7edf8aa6,,"Gaines, John R., Mr. and Mrs.",Mr. and Mrs. John R. Gaines,Gaines,he: 1928 - 2005,0,,,,,Other,couple,
18,b8d911df-20b8-496a-a7aa-f9dcff93c37d,,"Kellen, Stephen M., Mr. and Mrs.",Mr. and Mrs. Stephen M. Kellen,Kellen,he: 1914 - 2004,0,1914,2004,1901 to 1925,,Other,couple,
19,c4666652-731c-4ce2-b32f-8cb3de9bcf73,,"Mayer, Frederick R., Mr. and Mrs.",Mr. and Mrs. Frederick R. Mayer,Mayer,he: 1928 - 2007,0,1928,2007,1926 to 1950,,Other,couple,
20,f50ab880-354f-4d63-8d40-7506260c90ba,,"Wood Prince, William, Mr. and Mrs.",Mr. and Mrs. William Wood Prince,Wood Prince,,0,,,,,Other,couple,
22,45e7ba11-4b31-412a-844a-ff78e4f826df,500012143,"Abbott, Lemuel Francis",Lemuel Francis Abbott,Abbott,"British, c. 1755/1761 - 1802",1,1755,1802,1751 to 1775,British,British,individual,Q725410
24,a93cafde-6eec-4cc2-a607-233dc85cf6eb,,"Holladay, Wallace F., Mr. and Mrs.",Mr. and Mrs. Wallace F. Holladay,Holladay,,0,,,,,Other,couple,
25,c31070f2-0879-4c5b-8ea9-775b821e98fa,500026325,"Pippin, Horace",Horace Pippin,Pippin,"American, 1888 - 1946",1,1888,1946,1876 to 1900,American,American,individual,Q325076
27,47f78aab-5cb2-420c-8c99-b52bbfb15a62,500009698,"Aelst, Willem van",Willem van Aelst,Aelst,"Dutch, 1627 - 1683",1,1627,1683,1601 to 1650,Dutch,Dutch,individual,Q553273
28,96b7e5e3-63be-42e9-9594-b56ffc027983,,"Annenberg, Walter H., The Honorable and Mrs.",The Honorable and Mrs. Walter H. Annenberg,Annenberg,he: born 1908,0,1908,2008,1901 to 1925,,Other,couple,
29,142caa19-08f6-40d4-9c95-159d0d7d256d,,"Cafritz Foundation, Morris and Gwendolyn, The",The Morris and Gwendolyn Cafritz Foundation,,,0,,,,,Other,corporate,
30,ea2ae7e5-9710-4ea1-9e59-4df9e6743dae,,"de Ménil, Lois and Georges, Doctors",Doctors Lois and Georges de Ménil,de Ménil,,0,,,,,Other,couple,
31,5ca017b0-31cf-4d61-8411-ce5af90ee053,,"Hanes, Gordon, Mr. and Mrs.",Mr. and Mrs. Gordon Hanes,Hanes,,0,,,,,Other,couple,
32,544d2186-bf42-45aa-a4ee-1b8853dc24ff,500018917,"Heda, Willem Claesz",Willem Claesz Heda,Heda,"Dutch, 1594 - 1680",1,1594,1680,1551 to 1600,Dutch,Dutch,individual,Q40150
33,c5ba8abd-6a7a-4ac6-873a-4bd65b826e18,,"Stevenson, Ruth Carter, Mrs.",Mrs. Ruth Carter Stevenson,Stevenson,"American, 1923 - 2013",0,1923,2013,1901 to 1925,American,American,individual,
