constituentid,text,texttype,year
1202,"Sutton, Peter C., et al. _Masters of Seventeenth-Century Dutch Landscape Painting_. Exh. cat. Rijksmuseum, Amsterdam; Museum of Fine Arts, Boston; Philadelphia Museum of Art. Boston, 1987: 290-304.",bibliography,1987
1354,"Sutton, Peter C., et al. _Masters of Seventeenth-Century Dutch Landscape Painting_. Exh. cat. Rijksmuseum, Amsterdam; Museum of Fine Arts, Boston; Philadelphia Museum of Art. Boston, 1987: 317-332.",bibliography,1987
1395,"Sutton, Peter C., et al. _Masters of Seventeenth-Century Dutch Landscape Painting_. Exh. cat. Rijksmuseum, Amsterdam; Museum of Fine Arts, Boston; Philadelphia Museum of Art. Boston, 1987: 342-345.",bibliography,1987
1398,"Sutton, Peter C., et al. _Masters of Seventeenth-Century Dutch Landscape Painting_. Exh. cat. Rijksmuseum, Amsterdam; Museum of Fine Arts, Boston; Philadelphia Museum of Art. Boston, 1987: 345-354.",bibliography,1987
1761,"Sutton, Peter C., et al. _Masters of Seventeenth-Century Dutch Landscape Painting_. Exh. cat. Rijksmuseum, Amsterdam; Museum of Fine Arts, Boston; Philadelphia Museum of Art. Boston, 1987: 390-394.",bibliography,1987
1797,"Sutton, Peter C., et al. _Masters of Seventeenth-Century Dutch Landscape Painting_. Exh. cat. Rijksmuseum, Amsterdam; Museum of Fine Arts, Boston; Philadelphia Museum of Art. Boston, 1987: 416-422.",bibliography,1987
1809,"Sutton, Peter C., et al. _Masters of Seventeenth-Century Dutch Landscape Painting_. Exh. cat. Rijksmuseum, Amsterdam; Museum of Fine Arts, Boston; Philadelphia Museum of Art. Boston, 1987: 394-402.",bibliography,1987
1850,"Sutton, Peter C., et al. _Masters of Seventeenth-Century Dutch Landscape Painting_. Exh. cat. Rijksmuseum, Amsterdam; Museum of Fine Arts, Boston; Philadelphia Museum of Art. Boston, 1987: 437-465.",bibliography,1987
2377,"Sutton, Peter C., et al. _Masters of Seventeenth-Century Dutch Landscape Painting_. Exh. cat. Rijksmuseum, Amsterdam; Museum of Fine Arts, Boston; Philadelphia Museum of Art. Boston, 1987: 262-268.",bibliography,1987
2451,"Sutton, Peter C., et al. _Masters of Seventeenth-Century Dutch Landscape Painting_. Exh. cat. Rijksmuseum, Amsterdam; Museum of Fine Arts, Boston; Philadelphia Museum of Art. Boston, 1987: 374-376.",bibliography,1987
6677,"Sutton, Peter C., et al. _Masters of Seventeenth-Century Dutch Landscape Painting_. Exh. cat. Rijksmuseum, Amsterdam; Museum of Fine Arts, Boston; Philadelphia Museum of Art. Boston, 1987: 381-387.",bibliography,1987
129,"Sutton, Peter C., et al. _Masters of Seventeenth-Century Dutch Landscape Painting_. Exh. cat. Rijksmuseum, Amsterdam; Museum of Fine Arts, Boston; Philadelphia Museum of Art. Boston, 1987: 254-261.",bibliography,1987
2304,"Ardant, Maurice. ""Emailleurs limousins: Les Courteys."" _Bulletin de la société archéologique et historique du Limousin_ 10 (1860): 82-160 159-160.",bibliography,1860
2322,"Ardant, Maurice. ""Emailleurs limousins: Jehan court dit Vigier, Susanne Court, Jean de Court."" _Bulletin de la société archéologique et historique du Limousin_ 11 (1861): 5-21 19-21.",bibliography,1861
6870,"Ardant, Maurice. ""Emailleurs limousins: Les Reymond."" _Bulletin de la société archéologique et historique du Limousin_ 12 (1862): 117-158 117-158.",bibliography,1862
12859,"Armand, Alfred. _Les Médailleurs Italiens Des Quinzième et Seizième Siècles_. 3 vols. Paris, 1883-1887: 3:103.",bibliography,1883
9928,"Benezit, Emmanuel. _Dictionnaire critique et documentaire des peintres, sculpteurs, dessinaterus et graveurs de tour les temps et tous les pays._ 10 vols. Paris, 1976: III:124",bibliography,1976
9930,"Benezit, Emmanuel. _Dictionnaire critique et documentaire des peintres, sculpteurs, dessinaterus et graveurs de tour les temps et tous les pays._ 10 vols. Paris, 1976: III:303",bibliography,1976
10180,"Benezit, Emmanuel. _Dictionnaire critique et documentaire des peintres, sculpteurs, dessinaterus et graveurs de tour les temps et tous les pays._ 10 vols. Paris, 1976: 6:259",bibliography,1976
10223,"Benezit, Emmanuel. _Dictionnaire critique et documentaire des peintres, sculpteurs, dessinaterus et graveurs de tour les temps et tous les pays._ 10 vols. Paris, 1976: 9:732",bibliography,1976
1481,"Benezit, Emmanuel. _Dictionnaire critique et documentaire des peintres, sculpteurs, dessinaterus et graveurs de tour les temps et tous les pays._ 10 vols. Paris, 1976: 6:595 [as Stanislas Victor Edouard Lépine]",bibliography,1976
1687,"Benezit 1999, 9:301",bibliography,1999
1409,"Bergström, Ingvar. _Dutch Still-Life Painting in the Seventeenth Century_. Translated by Christina Hedström and Gerald Taylor. London, 1956: 226-228.",bibliography,1956
1430,"Bergström, Ingvar. _Dutch Still-Life Painting in the Seventeenth Century_. Translated by Christina Hedström and Gerald Taylor. London, 1956: 260-290.",bibliography,1956
1383,"Bergström, Ingvar. _Dutch Still-Life Painting in the Seventeenth Century_. Translated by Christina Hedström and Gerald Taylor. London, 1956: 191-228.",bibliography,1956
27,"Bergström, Ingvar. _Dutch Still-Life Painting in the Seventeenth Century_. Translated by Christina Hedström and Gerald Taylor. London, 1956: 220-224.",bibliography,1956
32,"Bergström, Ingvar. _Dutch Still-Life Painting in the Seventeenth Century_. Translated by Christina Hedström and Gerald Taylor. London, 1956: 123-124.",bibliography,1956
1981,"Bolton, Theodore, and Harry Lorin Binsse.  ""Wollaston, An Early American Portrait Manufacturer"" _The Antiquarian_ 16 (June 1931): 30-33, 50, 52.",bibliography,1931
1954,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 675.",bibliography,2003
1956,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 683.",bibliography,2003
1938,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 655.",bibliography,2003
1833,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 601-602.",bibliography,2003
1857,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 612-613.",bibliography,2003
1860,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 621-622.",bibliography,2003
1868,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 631.",bibliography,2003
1874,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 636-637.",bibliography,2003
1804,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 596.",bibliography,2003
1784,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 573.",bibliography,2003
1787,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 578.",bibliography,2003
2099,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 46.",bibliography,2003
1989,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 686.",bibliography,2003
5504,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 88.",bibliography,2003
5530,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 671.",bibliography,2003
1339,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 308.",bibliography,2003
1343,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 324.",bibliography,2003
1344,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 337.",bibliography,2003
1331,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 287.",bibliography,2003
1336,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 300.",bibliography,2003
1355,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 342.",bibliography,2003
1181,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 421.",bibliography,2003
1184,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 230.",bibliography,2003
1230,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 240.",bibliography,2003
1268,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 255.",bibliography,2003
1311,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 271.",bibliography,2003
1318,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 278.",bibliography,2003
