mediaid,mediatype,title,description,duration,language,thumbnailurl,playurl,downloadurl,keywords,tags,imageurl,presentationdate,releasedate,lastmodified
111,audio,John Wilmerding Symposium on American Art and Community Celebration 2021: Session I: An Evening Celebration of Alma Thomas,"<p>Virtual introduction by former First Lady Michelle Obama; poetry reading and discussion with Ross Gay; and virtual exhibition tour with Seth Feman and Jonathan Frederick Walz.<br>
<br>
Ross Gay, poet, gardener, professor, department of English, Indiana University Bloomington, founding board member, Bloomington Community Orchard, co-founder, The Tenderness Project, and Alma W. Thomas: Everything is Beautiful catalog contributor; with Seth Feman, deputy director for art and interpretation and curator of photography, Chrysler Museum of Art, and exhibition curator for Alma W. Thomas: Everything is Beautiful; and Jonathan Frederick Walz, director of curatorial affairs and curator of American art, Columbus Museum of Art, exhibition curator for Alma W. Thomas: Everything is Beautiful, and American University Feminist Art History Conference session presenter</p>
",,en,https://www.nga.gov/content/dam/ngaweb/audio-video/video/thumbnails/wilmerding-2021-an-evening-celebration.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F111&download=true,https://api.soundcloud.com/tracks/111/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,,"ngaweb:constituents/1/9/2/6/Constituent_1926,ngaweb:audio-video/Symposia/wilmerding-symposium-on-american-art",https://www.nga.gov/content/dam/ngaweb/audio-video/video/infoboxes/wilmerding-2021-an-evening-celebration.jpg,2021-09-22 00:00:00-04,2021-09-22 00:00:00-04,2022-07-05 14:37:41-04
77997857,audio,"National Gallery of Art String Quartet, Wind Quintet, and Piano Trio","<p>Program: Music by Johann Sebastian Bach and Wolfgang Amadeus Mozart. National Gallery of Art resident ensembles play the music of Johann Sebastian Bach and Wolfgang Amadeus Mozart in a concert dedicated to the memory of Milton M. Gottesman. The string quartet performs Mozart's Quartet in C Major, K. 465 (&quot;Dissonant&quot;), the wind quintet plays Johann Sebastian Bach's Fugue in G Minor, BWV 593 (&quot;Little&quot;), and the piano trio presents two movements from Mozart's Piano Trio in B-flat Major, K. 502.</p>
",3933,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/nga-quartet.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F77997857&download=true,https://api.soundcloud.com/tracks/77997857/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"string quartet, wind quintet, piano trio, johann sebastian bach, wolfgang amadeus mozart","ngaweb:audio-video/audio,ngaweb:audio-video/music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/nga-quartet.jpg,2012-03-27 00:00:00-04,2012-03-27 00:00:00-04,2014-05-30 14:37:16-04
78008083,audio,National Gallery of Art New Music Ensemble,"<p>Program: Music by Steve Antosca and Judith Shatin. Music composed and arranged by Steve Antosca and Judith Shatin for performance in the West Building Rotunda on the occasion of the National Gallery of Art's 70th anniversary. Selections include the world premiere performances of Antosca's Echoic Landscape and Shatin's Sic transit, both composed in 2011, as well as Antosca's in every way I remember you, featuring saxophonist Noah Getz.</p>
",2954,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/nga-ensemble.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78008083&download=true,https://api.soundcloud.com/tracks/78008083/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"national, gallery, ensemble, shatin, antosca","ngaweb:audio-video/audio,ngaweb:audio-video/music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/nga-ensemble.jpg,2012-02-21 00:00:00-05,2012-02-21 00:00:00-05,2014-04-25 11:43:15-04
78016915,audio,Nordic Voices,"<p>Program: Norwegian vocal music. Nordic Voices is a six-voice a capella ensemble from Norway, considered one of the leading international vocal ensembles of its type. The group specializes in vocal music of contemporary Norwegian composers, including settings of Latin texts, traditional Norwegian texts, and contemporary arrangements of folk songs. For its Gallery concert on October 10, 2010, Nordic Voices sang music by Kvaerno, Kverndokk, Ãdegaard, and Thoresen.</p>
",2368,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/nordic-voices.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78016915&download=true,https://api.soundcloud.com/tracks/78016915/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"nordic, voices, norway, vocal, acapella","ngaweb:audio-video/audio,ngaweb:audio-video/music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/nordic-voices.jpg,2010-10-10 00:00:00-04,2012-01-17 00:00:00-05,2014-04-25 11:43:40-04
78025867,audio,Music to Honor the Chester Dale Collection,"<p>Program: Music by Gershwin, Milhaud, Porter, Stravinsky, and other composers. To honor <i>From Impressionism to Modernism: The Chester Dale Collection</i>, violinist Bruno Nasta and pianist Danielle Hahn called upon clarinetist David Neithamer, bassist Jonathan Nazdin, and pianist Ronald Chiles to join them for performances of works that music historians now recognize as belonging to the &quot;modern&quot; period in music. The ensemble played a suite for violin, clarinet, and piano by Darius Milhaud; Stravinsky's famous Soldier's Tale; and a medley of songs by Gershwin and other Broadway composers, noting that Gershwin and Chester Dale knew each other personally.</p>
",3285,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/chester-dale.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78025867&download=true,https://api.soundcloud.com/tracks/78025867/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"dale, chester, gershwin, milhaud, porter, stravinsky","ngaweb:audio-video/audio,ngaweb:audio-video/music,ngaweb:audio-video/collection,ngaweb:audio-video/exhibition,ngaweb:constituents/2/2/9/Constituent_229",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/chester-dale.jpg,2011-12-13 00:00:00-05,2011-12-13 00:00:00-05,2014-05-16 13:37:10-04
78027146,audio,Music by Jewish Composers,"<p>Program: Music by Laszlo Weiner and Ernst von DohnÃ¡nyi. The dramatic story of Jewish life in the 20th century has given rise to a large body of music, including some outstanding chamber music. The Poulenc Trio, augmented by violinists Sally McClain and Anton Lande, violist Nicholas Citro, cellist Steven Honigberg, and clarinetist RiÃ© Suszuki, play music by Jakoulov, Klein, Prokofiev, and Schulhoff that they performed in concert at the National Gallery on December 5, 2010.</p>
",2270,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/jewish-composers.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78027146&download=true,https://api.soundcloud.com/tracks/78027146/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"jewish, composers, weiner, von dohnanyi, poulec, music","ngaweb:audio-video/audio,ngaweb:audio-video/music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/jewish-composers.jpg,2010-12-05 00:00:00-05,2011-11-22 00:00:00-05,2014-05-23 12:21:51-04
78033434,audio,Music for the Holidays at the National Gallery,"<p>Program: Music by Praetorius and arrangements of traditional carols. Founded in 1990, Ensemble Galilei has made a name for itself through innovative chamber music concerts that incorporate images and words as well as music. Taking a cue from programs that the ensemble presented with curators at the National Geographic Society and the Metropolitan Museum of Art, Gallery music department head Stephen Ackert combined the ensemble's holiday repertoire with images of paintings from the Gallery's permanent collection, which have in past years been featured on Christmas stamps issued by the Unites States Postal Service.</p>
",2219,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/nga-holidays.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78033434&download=true,https://api.soundcloud.com/tracks/78033434/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"holidays, carols, ensemble galolei, christmas","ngaweb:audio-video/audio,ngaweb:audio-video/music,ngaweb:audio-video/collection",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/nga-holidays.jpg,2011-10-18 00:00:00-04,2011-10-18 00:00:00-04,2014-04-25 11:51:38-04
78034622,audio,The Stanford University Chamber Chorale and Chatham Baroque,"<p>Program: St. John Passion by Johann Sebastian Bach. The Stanford University Chamber Chorale and Chatham Baroque. Picking up on a theme of the National Gallery exhibition <i>The Sacred Made Real</i>, which featured sculptures depicting the crucifixion of Jesus and the sufferings of Mary and the saints, the conductor of the Stanford University Chamber Chorale, Stephen Sano, led his group in singing selections from J. S. Bach's Saint John Passion for a concert at the Gallery in March 2010, while the exhibition was on view. Visitors reported being similarly moved by both the music and the art, though the art reflected religious life in 16th-century Spain and the music reflected religious life in 18th-century Germany.</p>
",2182,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/standford-chorale.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78034622&download=true,https://api.soundcloud.com/tracks/78034622/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"passion, bach, music, standford, chamber, chorale, chatham, baroque","ngaweb:audio-video/audio,ngaweb:audio-video/music,ngaweb:audio-video/exhibition",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/standford-chorale.jpg,2011-09-20 00:00:00-04,2011-09-20 00:00:00-04,2014-04-25 11:53:16-04
78036302,audio,"Dan Franklin Smith, pianist","<p>Program: Music for solo piano by Brubeck, Chopin, Copland, Gershwin, and Previn. Pianist Dan Franklin Smith performs music from the great romantic tradition in the form of nine short pieces by FrÃ©dÃ©ric Chopin, music inspired by Chopin by American composers Gershwin and Copland, and music inspired by jazz by Dave Brubeck and AndrÃ© Previn. Based in New York City, Smith heads an international festival in Germany called &quot;Elysium: Between Two Continents.&quot;</p>
",3408,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/dan-smith.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78036302&download=true,https://api.soundcloud.com/tracks/78036302/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"pianist, brubeck, chopin, copland, gershwin, gottschalk, previn","ngaweb:audio-video/audio,ngaweb:audio-video/music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/dan-smith.jpg,2011-08-16 00:00:00-04,2011-08-16 00:00:00-04,2014-05-30 14:36:05-04
78098910,audio,Concerts in Honor of Venice: Canaletto and His Rivals,"<p>Program: Music by Caldara, Gabrielli, Legrenzi, Vivaldi, and other Venetian composers. During the run of the exhibition <i>Venice: Canaletto and His Rivals, the National Gallery presented four concerts of Italian music from the time of Canaletto (1697–1768)</i>, coinciding with the end of the baroque era in music. Venice was abounding with musical as well as artistic talent at this time, as attested by the large number of composers and the high quality of the music featured in these concerts.</p>
",2906,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/venice-canaletto.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78098910&download=true,https://api.soundcloud.com/tracks/78098910/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"canaletto, rivals","ngaweb:audio-video/audio,ngaweb:audio-video/music,ngaweb:audio-video/exhibition,ngaweb:exhibitions/2011/venice-canaletto-and-his-rivals",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/venice-canaletto.jpg,2011-07-19 00:00:00-04,2011-07-19 00:00:00-04,2015-06-17 10:15:28-04
