mediaid,relatedid,relatedentity
111,1926,nga:art:tms:constituents
78025867,229,nga:art:tms:constituents
78150710,1939,nga:art:tms:constituents
78152667,50724,nga:art:tms:objects
78154365,2311,nga:art:tms:constituents
78154365,5477,nga:art:tms:constituents
78158581,5145,nga:art:tms:constituents
78159817,995,nga:art:tms:constituents
78159817,5988,nga:art:tms:constituents
78160638,20532,nga:art:tms:constituents
78161533,1085,nga:art:tms:constituents
78163008,2269,nga:art:tms:constituents
78163008,6607,nga:art:tms:constituents
78164505,21959,nga:art:tms:constituents
78165553,2724,nga:art:tms:constituents
78167171,6903,nga:art:tms:constituents
78240856,2474,nga:art:tms:constituents
78241791,1722,nga:art:tms:constituents
78242995,4711,nga:art:tms:constituents
78243740,24606,nga:art:tms:constituents
78245136,2215,nga:art:tms:constituents
78245136,23548,nga:art:tms:constituents
78257788,28027,nga:art:tms:constituents
78263115,3185,nga:art:tms:constituents
78264468,64,nga:art:tms:objects
78264468,1717,nga:art:tms:constituents
78267456,2592,nga:art:tms:constituents
78268790,1330,nga:art:tms:constituents
78271071,1330,nga:art:tms:constituents
78275574,15123,nga:art:tms:constituents
78284039,2474,nga:art:tms:constituents
78287057,2251,nga:art:tms:constituents
78293210,3185,nga:art:tms:constituents
78298014,6846,nga:art:tms:constituents
78298298,992,nga:art:tms:constituents
78299429,2215,nga:art:tms:constituents
78300391,4711,nga:art:tms:constituents
78301511,1903,nga:art:tms:constituents
78303012,1080,nga:art:tms:constituents
78304119,1330,nga:art:tms:constituents
78311366,6523,nga:art:tms:constituents
78311845,129,nga:art:tms:constituents
78311845,1016,nga:art:tms:constituents
78313195,1219,nga:art:tms:constituents
78313299,129,nga:art:tms:constituents
78313299,1016,nga:art:tms:constituents
78314096,27890,nga:art:tms:constituents
78314096,128354,nga:art:tms:objects
78315128,28027,nga:art:tms:constituents
78318145,1316,nga:art:tms:constituents
78319962,20159,nga:art:tms:constituents
78320025,34629,nga:art:tms:constituents
78322679,2627,nga:art:tms:constituents
78322917,2136,nga:art:tms:constituents
78323181,15254,nga:art:tms:constituents
78323181,20159,nga:art:tms:constituents
78323258,9714,nga:art:tms:constituents
78323258,144298,nga:art:tms:objects
78323660,1016,nga:art:tms:constituents
78323901,1219,nga:art:tms:constituents
78324683,23412,nga:art:tms:constituents
78324856,1016,nga:art:tms:constituents
78324856,1485,nga:art:tms:constituents
78325076,31584,nga:art:tms:constituents
78326960,24053,nga:art:tms:constituents
78327192,24053,nga:art:tms:constituents
78327713,1016,nga:art:tms:constituents
78327713,1485,nga:art:tms:constituents
78327733,32739,nga:art:tms:constituents
78327904,1016,nga:art:tms:constituents
78327904,1485,nga:art:tms:constituents
78328065,1016,nga:art:tms:constituents
78328065,1485,nga:art:tms:constituents
78328158,2561,nga:art:tms:constituents
78328158,20108,nga:art:tms:constituents
78328273,24607,nga:art:tms:constituents
78329483,1808,nga:art:tms:constituents
78333512,992,nga:art:tms:constituents
78338016,501,nga:art:tms:constituents
78338016,5058,nga:art:tms:constituents
78339817,6747,nga:art:tms:constituents
78339817,15254,nga:art:tms:constituents
78340212,1016,nga:art:tms:constituents
78340687,1016,nga:art:tms:constituents
78340768,1016,nga:art:tms:constituents
78341834,6663,nga:art:tms:constituents
78342188,2262,nga:art:tms:constituents
78342188,21337,nga:art:tms:constituents
78342323,15254,nga:art:tms:constituents
78342513,4641,nga:art:tms:constituents
78342785,6747,nga:art:tms:constituents
78342866,4273,nga:art:tms:constituents
78343004,6663,nga:art:tms:constituents
78344292,992,nga:art:tms:constituents
78344798,33045,nga:art:tms:constituents
78345258,61,nga:art:tms:objects
78345258,62,nga:art:tms:objects
78346586,21959,nga:art:tms:constituents
78349410,37573,nga:art:tms:constituents
78349906,14571,nga:art:tms:constituents
78350815,12197,nga:art:tms:constituents
78352616,28614,nga:art:tms:constituents
78352769,1016,nga:art:tms:constituents
78352769,2627,nga:art:tms:constituents
78352827,1016,nga:art:tms:constituents
78352827,2627,nga:art:tms:constituents
78352897,1016,nga:art:tms:constituents
78352897,2627,nga:art:tms:constituents
78354275,33095,nga:art:tms:constituents
78354275,142289,nga:art:tms:objects
78391700,115401,nga:art:tms:objects
78391998,29805,nga:art:tms:constituents
78392089,29805,nga:art:tms:constituents
78392849,6663,nga:art:tms:constituents
78392925,6663,nga:art:tms:constituents
78393032,15254,nga:art:tms:constituents
78393032,21959,nga:art:tms:constituents
78393183,15254,nga:art:tms:constituents
78393183,21959,nga:art:tms:constituents
78393274,15254,nga:art:tms:constituents
78393274,21959,nga:art:tms:constituents
78393914,30767,nga:art:tms:constituents
78394070,30767,nga:art:tms:constituents
78394153,30767,nga:art:tms:constituents
78394285,30767,nga:art:tms:constituents
78394457,992,nga:art:tms:constituents
78394550,992,nga:art:tms:constituents
78396537,992,nga:art:tms:constituents
78397153,15254,nga:art:tms:constituents
78397228,15254,nga:art:tms:constituents
78397594,6083,nga:art:tms:constituents
78397594,30767,nga:art:tms:constituents
78397594,65715,nga:art:tms:objects
78397689,30767,nga:art:tms:constituents
78398015,2242,nga:art:tms:constituents
78398015,19949,nga:art:tms:constituents
78398098,2242,nga:art:tms:constituents
78398098,19949,nga:art:tms:constituents
78398175,2242,nga:art:tms:constituents
78398251,2242,nga:art:tms:constituents
78398251,19949,nga:art:tms:constituents
78398725,1016,nga:art:tms:constituents
78398725,18427,nga:art:tms:constituents
78398725,30767,nga:art:tms:constituents
78398858,37,nga:art:tms:constituents
78398858,548,nga:art:tms:constituents
78398858,34411,nga:art:tms:constituents
78398902,1016,nga:art:tms:constituents
78398902,30767,nga:art:tms:constituents
78398987,30767,nga:art:tms:constituents
78399083,30767,nga:art:tms:constituents
78399083,35186,nga:art:tms:constituents
78399161,30767,nga:art:tms:constituents
78399298,2242,nga:art:tms:constituents
78399298,19949,nga:art:tms:constituents
78399298,30767,nga:art:tms:constituents
78399646,1939,nga:art:tms:constituents
78400283,1939,nga:art:tms:constituents
78400283,30767,nga:art:tms:constituents
78400404,15254,nga:art:tms:constituents
78400404,29738,nga:art:tms:constituents
78400404,33596,nga:art:tms:constituents
78401446,1404,nga:art:tms:constituents
78401446,23655,nga:art:tms:constituents
78401517,293,nga:art:tms:objects
78401517,1497,nga:art:tms:constituents
78402305,15254,nga:art:tms:constituents
78402305,29738,nga:art:tms:constituents
78402305,30767,nga:art:tms:constituents
78402305,33596,nga:art:tms:constituents
78403148,6032,nga:art:tms:constituents
78403148,6747,nga:art:tms:constituents
78403148,15254,nga:art:tms:constituents
78403148,23655,nga:art:tms:constituents
78404355,1939,nga:art:tms:constituents
78404456,1404,nga:art:tms:constituents
