parentobjectid,childobjectid,relationship
10,282,separable
34,0,separable
34,33,separable
160,161,inseparable
182,183,separable
182,184,separable
391,220445,separable
486,487,separable
486,488,separable
760,761,inseparable
1154,1155,separable
1154,1156,separable
1288,91410,separable
1288,91411,separable
1290,1291,inseparable
1292,1293,inseparable
1294,1295,inseparable
1296,1297,inseparable
1300,1301,inseparable
1302,1303,inseparable
1304,1305,inseparable
1306,1307,inseparable
1308,1309,inseparable
1310,1311,inseparable
1312,1313,inseparable
1314,1315,inseparable
1316,1317,inseparable
1318,1319,inseparable
1320,1321,inseparable
1322,1323,inseparable
1324,1325,inseparable
1326,1327,inseparable
1328,1329,inseparable
1330,1331,inseparable
1332,1333,inseparable
1335,150137,inseparable
1858,1857,separable
1858,1859,separable
1858,1860,separable
1858,1861,separable
1858,1862,separable
1858,1863,separable
1865,1864,separable
1865,1866,separable
1865,1867,separable
1865,1868,separable
1865,1869,separable
1865,1870,separable
1865,1871,separable
1865,1872,separable
1865,1873,separable
1865,1874,separable
1865,1875,separable
1865,1876,separable
1865,1877,separable
1865,1878,separable
1865,1879,separable
1865,1880,separable
1865,1881,separable
1865,1882,separable
1865,1883,separable
1865,1884,separable
1865,1885,separable
1865,1886,separable
1865,1887,separable
1865,1888,separable
1865,1889,separable
1865,1890,separable
1865,1891,separable
1865,1892,separable
1865,1893,separable
1865,1894,separable
1865,1895,separable
1865,1896,separable
1865,1897,separable
1865,1898,separable
1865,1899,separable
1865,1900,separable
1865,1901,separable
1865,1902,separable
1865,1903,separable
1905,1904,separable
1905,1906,separable
1905,1907,separable
1905,1908,separable
1905,1909,separable
1905,1910,separable
1905,1911,separable
1905,1912,separable
1905,1913,separable
1905,1914,separable
1905,1915,separable
1905,1916,separable
1905,1917,separable
1905,1918,separable
1905,1919,separable
1905,1920,separable
1905,1921,separable
1905,1922,separable
1905,1923,separable
1905,1924,separable
1905,1925,separable
1905,1926,separable
1905,1927,separable
1905,1928,separable
1905,1929,separable
1905,1930,separable
1905,1931,separable
1905,1932,separable
1905,1933,separable
1905,1934,separable
1905,1935,separable
1905,1936,separable
1905,1937,separable
1905,1938,separable
1905,1939,separable
1905,1940,separable
1905,1941,separable
1905,1942,separable
1944,1943,separable
1944,1945,separable
1944,1946,separable
1944,1947,separable
1944,1948,separable
1944,1949,separable
1944,1950,separable
1944,1951,separable
1944,1952,separable
1944,1953,separable
1944,1954,separable
1944,1955,separable
1944,1956,separable
1944,1957,separable
1944,1958,separable
1944,1959,separable
1944,1960,separable
1944,1961,separable
1944,1962,separable
1944,1963,separable
1944,1964,separable
1944,1965,separable
1944,1966,separable
1944,1967,separable
1944,1968,separable
1944,1969,separable
1944,1970,separable
1944,1971,separable
1944,1972,separable
1944,1973,separable
1944,1974,separable
1944,1975,separable
1944,1976,separable
1944,1977,separable
1983,1984,inseparable
1983,1985,inseparable
1988,1987,separable
1988,1989,separable
1988,1990,separable
1988,1991,separable
1988,1992,separable
1988,1993,separable
1988,1994,separable
1988,1995,separable
1988,1996,separable
1988,1997,separable
1988,1998,separable
1988,1999,separable
1988,2000,separable
1988,2001,separable
1988,2002,separable
1988,2003,separable
1988,2004,separable
1988,2005,separable
1988,2006,separable
1988,2007,separable
1988,2008,separable
1988,2009,separable
1988,2010,separable
1988,2011,separable
1988,2012,separable
1988,2013,separable
1988,2014,separable
1988,2015,separable
1988,2016,separable
1988,2017,separable
1988,2018,separable
1988,2019,separable
1988,2020,separable
1988,2021,separable
1988,2022,separable
1988,2023,separable
2025,2024,separable
2025,2026,separable
2025,2027,separable
2025,2028,separable
2025,2029,separable
2025,2030,separable
2025,2031,separable
2025,2032,separable
2025,2033,separable
2025,2034,separable
2025,2035,separable
2025,2036,separable
2025,2037,separable
2025,2038,separable
2025,2039,separable
2025,2040,separable
2025,2041,separable
2025,2042,separable
2025,2043,separable
2025,2044,separable
2025,2045,separable
2025,2046,separable
2025,2047,separable
2025,2048,separable
2025,2049,separable
2025,2050,separable
2025,2051,separable
2025,2052,separable
2025,2053,separable
