objectid,altnumtype,altnum
1,Old Accession Number,3
8,Old Accession Number,6
14,Old Accession Number,12
15,Old Accession Number,13
19,Old Accession Number,17
20,Old Accession Number,18
21,Old Accession Number,19
28,Old Accession Number,26
35,Old Accession Number,1
41,Old Accession Number,34
49,Old Accession Number,42
58,Old Accession Number,51
60,Old Accession Number,53
71,Old Accession Number,64
73,Old Accession Number,66
74,Old Accession Number,67
75,Old Accession Number,68
78,Old Accession Number,71
82,Old Accession Number,75
84,Old Accession Number,77
88,Old Accession Number,81
89,Old Accession Number,82
94,Old Accession Number,87
96,Old Accession Number,89
102,Old Accession Number,95
108,Old Accession Number,101
110,Old Accession Number,103
118,Old Accession Number,111
120,Old Accession Number,A-2
129,Old Accession Number,A-11
131,Old Accession Number,A-13
134,Old Accession Number,A-16
139,Old Accession Number,A-21
165,Old Accession Number,135
182,Old Accession Number,152
184,Old Accession Number,154
212,Old Accession Number,182
239,Old Accession Number,209
249,Old Accession Number,219
255,Old Accession Number,225
258,Old Accession Number,228
261,Old Accession Number,231
267,Old Accession Number,237
300,Old Accession Number,270
309,Old Accession Number,279
319,Old Accession Number,289
321,Old Accession Number,291
357,Old Accession Number,327
358,Old Accession Number,328
362,Old Accession Number,332
364,Old Accession Number,334
396,Old Accession Number,366
399,Old Accession Number,369
408,Old Accession Number,376
411,Old Accession Number,379
414,Old Accession Number,382
432,Old Accession Number,400
433,Old Accession Number,401
453,Old Accession Number,422
469,Old Accession Number,A-31
478,Old Accession Number,A-40
487,Old Accession Number,437
501,Old Accession Number,450
560,Old Accession Number,487
562,Old Accession Number,489
567,Old Accession Number,494
570,Old Accession Number,497
572,Old Accession Number,499
574,Old Accession Number,A-41
583,Old Accession Number,B-5
584,Old Accession Number,B-6
585,Old Accession Number,B-7
587,Old Accession Number,B-9
589,Old Accession Number,B-11
592,Old Accession Number,B-14
598,Old Accession Number,B-20
599,Old Accession Number,B-21
609,Old Accession Number,B-31
615,Old Accession Number,B-37
616,Old Accession Number,B-38
619,Old Accession Number,B-41
622,Old Accession Number,B-44
624,Old Accession Number,B-46
625,Old Accession Number,B-47
639,Old Accession Number,B-61
640,Old Accession Number,B-62
643,Old Accession Number,B-65
645,Old Accession Number,B-67
649,Old Accession Number,B-71
650,Old Accession Number,B-72
655,Old Accession Number,B-77
