objectid,element,dimensiontype,dimension,unitname
0,painted surface,height,62.2000000000,centimeters
0,painted surface,width,34.8000000000,centimeters
1,painted surface,height,224.8000000000,centimeters
1,painted surface,width,77.0000000000,centimeters
2,overall,height,197.0000000000,centimeters
2,overall,width,80.0000000000,centimeters
3,overall,height,204.0000000000,centimeters
3,overall,width,80.0000000000,centimeters
4,overall,height,194.6000000000,centimeters
4,overall,width,80.0000000000,centimeters
5,painted surface,height,60.7000000000,centimeters
5,painted surface,width,45.2000000000,centimeters
6,painted surface,height,89.3000000000,centimeters
6,painted surface,width,33.6000000000,centimeters
7,painted surface,height,108.0000000000,centimeters
7,painted surface,width,57.8000000000,centimeters
8,painted surface,height,89.2000000000,centimeters
8,painted surface,width,33.0000000000,centimeters
9,overall,height,105.6000000000,centimeters
9,overall,width,54.1000000000,centimeters
10,painted surface,height,43.0000000000,centimeters
10,painted surface,width,16.0000000000,centimeters
11,painted surface,height,69.7000000000,centimeters
11,painted surface,width,49.5000000000,centimeters
12,overall,height,182.0000000000,centimeters
12,overall,width,137.0000000000,centimeters
13,painted surface,height,50.8000000000,centimeters
13,painted surface,width,23.5000000000,centimeters
14,overall,height,105.0000000000,centimeters
14,overall,width,46.0000000000,centimeters
15,overall,height,26.9000000000,centimeters
15,overall,width,46.4000000000,centimeters
16,overall,height,42.4000000000,centimeters
16,overall,width,32.5000000000,centimeters
17,overall,height,47.9500000000,centimeters
17,overall,width,34.1400000000,centimeters
18,overall,height,148.8000000000,centimeters
18,overall,width,115.1000000000,centimeters
19,painted surface,height,54.2000000000,centimeters
19,painted surface,width,40.4000000000,centimeters
20,painted surface,height,81.5000000000,centimeters
20,painted surface,width,56.3000000000,centimeters
21,overall,height,43.5000000000,centimeters
21,overall,width,46.2000000000,centimeters
22,overall,height,52.1000000000,centimeters
22,overall,width,36.5000000000,centimeters
23,overall,height,74.5000000000,centimeters
23,overall,width,54.5000000000,centimeters
24,painted surface,height,68.0000000000,centimeters
24,painted surface,width,102.0000000000,centimeters
25,painted surface,height,52.0000000000,centimeters
25,painted surface,width,36.6000000000,centimeters
26,overall,height,94.5000000000,centimeters
27,overall,height,80.7000000000,centimeters
27,overall,width,57.5000000000,centimeters
28,overall,height,28.5000000000,centimeters
28,overall,width,21.5000000000,centimeters
29,left panel,height,95.0000000000,centimeters
29,left panel,width,30.1000000000,centimeters
30,middle panel,height,101.5000000000,centimeters
30,middle panel,width,56.5000000000,centimeters
31,right panel,height,95.0000000000,centimeters
31,right panel,width,30.1000000000,centimeters
32,painted surface,height,72.0000000000,centimeters
32,painted surface,width,111.0000000000,centimeters
33,painted surface,height,73.0000000000,centimeters
33,painted surface,width,52.6000000000,centimeters
34,painted surface,height,61.5000000000,centimeters
34,painted surface,width,34.5000000000,centimeters
35,painted surface,height,82.4000000000,centimeters
35,painted surface,width,50.1000000000,centimeters
36,overall,height,32.0000000000,centimeters
36,overall,width,26.5000000000,centimeters
37,painted surface,height,58.1000000000,centimeters
37,painted surface,width,43.2000000000,centimeters
38,overall,height,33.0000000000,centimeters
38,overall,width,24.8000000000,centimeters
39,painted surface,height,78.4000000000,centimeters
39,painted surface,width,53.0000000000,centimeters
40,painted surface,height,102.0000000000,centimeters
40,painted surface,width,144.0000000000,centimeters
41,overall,height,124.5000000000,centimeters
41,overall,width,105.5000000000,centimeters
42,overall,height,64.8000000000,centimeters
42,overall,width,50.6000000000,centimeters
43,overall,height,27.7000000000,centimeters
43,overall,width,58.0000000000,centimeters
44,overall,height,77.0000000000,centimeters
44,overall,width,57.5000000000,centimeters
45,overall,height,58.0000000000,centimeters
45,overall,width,44.5000000000,centimeters
46,painted surface,height,90.2000000000,centimeters
46,painted surface,width,34.1000000000,centimeters
47,painted surface,height,127.6000000000,centimeters
47,painted surface,width,94.9000000000,centimeters
48,painted surface,height,57.6000000000,centimeters
48,painted surface,width,46.4000000000,centimeters
49,painted surface,height,31.3000000000,centimeters
49,painted surface,width,25.1000000000,centimeters
50,painted surface,height,41.9000000000,centimeters
50,painted surface,width,42.2000000000,centimeters
51,painted surface,height,34.0000000000,centimeters
51,painted surface,width,25.5000000000,centimeters
52,overall,height,163.0000000000,centimeters
52,overall,width,93.0000000000,centimeters
53,overall,height,33.6000000000,centimeters
53,overall,width,23.7000000000,centimeters
54,overall,height,153.0000000000,centimeters
54,overall,width,120.0000000000,centimeters
55,overall,height,172.0000000000,centimeters
55,overall,weight,48.0812845868,pounds
55,overall,width,117.0000000000,centimeters
56,overall,height,196.5000000000,centimeters
56,overall,width,133.8000000000,centimeters
57,overall,height,133.0000000000,centimeters
57,overall,width,106.0000000000,centimeters
