datatype,objectid,displayorder,forwardtext,invertedtext,remarks,effectivedate
previous_attribution,0,3,Follower of Cimabue,"Cimabue, Follower of",Bd. Tr. approval 5/2/1984,1984-05-02
previous_attribution,1,2,Follower of Giotto,"Giotto, Follower of",Bd. Tr. approval 2/1/1941,1941-02-01
previous_attribution,1,1,School of Giotto,School of Giotto,Attribution at time of acquisition,1937
previous_attribution,2,1,Gherardo Starnina,"Starnina, Gherardo",Attribution at time of gift,
previous_attribution,3,1,Gherardo Starnina,"Starnina, Gherardo",Attribution at time of gift,
previous_attribution,4,1,Gherardo Starnina,"Starnina, Gherardo",Attribution at time of gift,
previous_attribution,5,2,Workshop of Fra Angelico,"Angelico, Fra, Workshop of",Bd. Tr. approval 4/28/1988,
previous_attribution,5,1,Fra Angelico,"Angelico, Fra",Attribution at time of gift,
previous_attribution,6,1,Master of the Fabriano Altarpiece and Allegretto Nuzi,Master of the Fabriano Altarpiece and Allegretto Nuzi,Attribution at time of gift,1937
previous_attribution,7,1,Master of the Fabriano altarpiece and Allegretto Nuzi,Master of the Fabriano altarpiece and Allegretto Nuzi,Attribution at time of gift,
previous_attribution,8,1,Master of the Fabriano altarpiece and Allegretto Nuzi,Master of the Fabriano altarpiece and Allegretto Nuzi,Attribution at time of gift,
previous_attribution,9,2,Attributed to Masaccio,"Masaccio, Attributed to","Bd. Tr. approval 1/9/1964
",
previous_attribution,9,1,Masaccio,Masaccio,Attribution at time of gift,
previous_attribution,12,1,Matteo di Giovanni,Matteo di Giovanni,Attribution at time of gift,
previous_attribution,14,1,Neroccio de' Landi and Master of the Griselda Legend,Neroccio de' Landi and Master of the Griselda Legend,"Attribution at time of acquisition
",
previous_attribution,16,1,Masaccio,Masaccio,Attribution at time of gift,
previous_attribution,17,1,Domenico Veneziano,Domenico Veneziano,Attribution at time of gift,
previous_attribution,19,2,Antonio del Pollaiuolo,"Pollaiuolo, Antonio del",Bd. Tr. approval 2/1/1941,
previous_attribution,19,1,Andrea del Castagno,"Castagno, Andrea del",Attribution at time of gift,
previous_attribution,22,1,Botticelli,Botticelli,Attribution at time of gift,
previous_attribution,25,1,Pisanello,Pisanello,Attribution at time of gift,
previous_attribution,32,1,Giovanni Bellini,"Bellini, Giovanni",Attribution at time of gift,
previous_attribution,33,3,Follower of Cimabue,"Cimabue, Follower of",Bd. Tr. approval 5/2/1984,1984-05-02
previous_attribution,34,3,Follower of Cimabue,"Cimabue, Follower of",Bd. Tr. approval 5/2/1984,1984-05-02
previous_attribution,34,1,Cimabue,Cimabue,Attribution at time of gift,1937
previous_attribution,34,2,Attributed to Cimabue,"Cimabue, Attributed to",Bd. Tr. approval 1/9/1964,1964-01-19
previous_attribution,35,1,Byzantine 13th Century,Byzantine 13th Century,Attribution at time of acquisition,1937
previous_attribution,38,1,Antonello da Messina,Antonello da Messina,"Attribution at time of acquisition
",
previous_attribution,39,1,Andrea Mantegna,"Mantegna, Andrea",Attribution at time of gift,
previous_attribution,39,2,Paduan 15th Century,Paduan 15th Century,"Bd. Tr. approval 10/4/1984
",
previous_attribution,42,1,Attributed to Titian,"Titian, Attributed to",Bd. Tr. approval 10/4/1984,1984-10-04
previous_attribution,42,2,Titian,Titian,Attribution at time of gift,1937
previous_attribution,43,1,Titian,Titian,Attribution at time of gift,
previous_attribution,52,1,Rogier van der Weyden,"Weyden, Rogier van der",Attribution at time of gift,
previous_attribution,52,2,Circle of Rogier van der Weyden,"Weyden, Rogier van der, Circle of",Bd. Tr. approval 5/1/74,
previous_attribution,54,1,Sir Peter Paul Rubens,"Rubens, Sir Peter Paul",Attribution at time of gift,
previous_attribution,55,1,Sir Peter Paul Rubens,"Rubens, Sir Peter Paul",Attribution at time of gift,
previous_attribution,58,1,Sir Anthony van Dyck,"Dyck, Sir Anthony van",Attribution at time of gift,
previous_attribution,61,2,Follower of Johannes Vermeer,"Vermeer, Johannes, Follower of",Bd. Tr. approval 1/25/73,
previous_attribution,61,1,Johannes Vermeer,"Vermeer, Johannes",Attribution at time of gift,
previous_attribution,62,2,Follower of Johannes Vermeer,"Vermeer, Johannes, Follower of",Bd. Tr. approval 1/25/1973,2010-02-25
previous_attribution,62,1,Johannes Vermeer,"Vermeer, Johannes",Attribution at time of gift,
previous_attribution,73,1,Albrecht Dürer (?),"Dürer, Albrecht, (?)",Attribution at time of gift,
previous_attribution,80,1,Rembrandt van Rijn,Rembrandt van Rijn,Attribution at time of gift,
previous_attribution,81,2,Carel Fabritius and Workshop of Rembrandt van Rijn,"Fabritius, Carel and Workshop of Rembrandt van Rijn",Bd. Tr. approval 1/23/1992,""
previous_attribution,81,1,Rembrandt van Rijn,Rembrandt van Rijn,Attribution at time of gift,
previous_attribution,82,2,Rembrandt Workshop,Rembrandt Workshop,Bd. Tr. approval 1/27/1994,1994-01-27
previous_attribution,82,1,Rembrandt van Rijn,Rembrandt van Rijn,Attribution at time of gift,
previous_attribution,86,1,Rembrandt van Rijn,Rembrandt van Rijn,Attribution at time of gift,
previous_attribution,87,1,Diego Velázquez,"Velázquez, Diego",Attribution at time of gift,
previous_attribution,89,2,Circle of Diego Velázquez,"Velázquez, Diego, Circle of",Bd. Tr. approval 5/3/72,
previous_attribution,89,1,Diego Velázquez,"Velázquez, Diego",Attribution at time of gift,
previous_attribution,91,1,El Greco,"Greco, El",Attribution at time of gift,
previous_attribution,92,1,Francisco de Goya,"Goya, Francisco de",,
previous_attribution,93,1,Francisco de Goya,"Goya, Francisco de",Attribution at time of gift,
previous_attribution,94,1,Francisco de Goya,"Goya, Francisco de",Attribution at time of gift,
previous_attribution,95,1,Francisco de Goya,"Goya, Francisco de",,
previous_attribution,105,1,Thomas Gainsborough,"Gainsborough, Thomas",Attribution at time of gift,
previous_attribution,105,2,Studio of Thomas Gainsborough,"Gainsborough, Thomas, Studio of",Bd. Tr. approval 1/25/1973,""
previous_attribution,119,1,Donatello,Donatello,Attribution at time of gift,
previous_attribution,121,1,Desiderio da Settignano,Desiderio da Settignano,Attribution at time of gift,
previous_attribution,122,1,Desiderio da Settignano,Desiderio da Settignano,Attribution at time of gift,
previous_attribution,122,2,Style of Desiderio da Settignano,"Desiderio da Settignano, Style of",Bd. Tr. approval 10/1/1987,1987-10-01
previous_attribution,123,1,Agostino di Duccio,Agostino di Duccio,Attribution at time of acquisition,1937
previous_attribution,127,1,Giovanni Antonio Amadeo,"Amadeo, Giovanni Antonio",Attribution at time of gift,1937
