termid,objectid,termtype,term,visualbrowsertheme,visualbrowserstyle
2027419,204061,Keyword,Keywords,,
2027428,163360,Theme,Themes,,
2027428,184952,Theme,Themes,,
2027428,210273,Theme,Themes,,
2027440,12784,Place Executed,Illinois,,
2027440,14224,Place Executed,Illinois,,
2027440,14310,Place Executed,Illinois,,
2027440,14876,Place Executed,Illinois,,
2027440,14975,Place Executed,Illinois,,
2027440,15788,Place Executed,Illinois,,
2027440,17910,Place Executed,Illinois,,
2027440,20023,Place Executed,Illinois,,
2027440,22448,Place Executed,Illinois,,
2027440,24058,Place Executed,Illinois,,
2027440,25814,Place Executed,Illinois,,
2027440,27141,Place Executed,Illinois,,
2027440,27168,Place Executed,Illinois,,
2027440,27403,Place Executed,Illinois,,
2027441,12254,Place Executed,Chicago,,
2027441,12425,Place Executed,Chicago,,
2027441,13547,Place Executed,Chicago,,
2027441,14358,Place Executed,Chicago,,
2027441,15295,Place Executed,Chicago,,
2027441,16607,Place Executed,Chicago,,
2027441,16698,Place Executed,Chicago,,
2027441,16712,Place Executed,Chicago,,
2027441,16904,Place Executed,Chicago,,
2027441,17236,Place Executed,Chicago,,
2027441,17385,Place Executed,Chicago,,
2027441,17648,Place Executed,Chicago,,
2027441,17649,Place Executed,Chicago,,
2027441,17787,Place Executed,Chicago,,
2027441,17893,Place Executed,Chicago,,
2027441,17944,Place Executed,Chicago,,
2027441,20689,Place Executed,Chicago,,
2027441,20749,Place Executed,Chicago,,
2027441,20817,Place Executed,Chicago,,
2027441,20853,Place Executed,Chicago,,
2027441,20866,Place Executed,Chicago,,
2027441,21320,Place Executed,Chicago,,
2027441,21450,Place Executed,Chicago,,
2027441,21515,Place Executed,Chicago,,
2027441,21569,Place Executed,Chicago,,
2027441,22140,Place Executed,Chicago,,
2027441,22157,Place Executed,Chicago,,
2027441,22161,Place Executed,Chicago,,
2027441,23484,Place Executed,Chicago,,
2027441,24326,Place Executed,Chicago,,
2027441,24907,Place Executed,Chicago,,
2027441,24908,Place Executed,Chicago,,
2027441,24912,Place Executed,Chicago,,
2027441,24914,Place Executed,Chicago,,
2027441,25372,Place Executed,Chicago,,
2027441,27004,Place Executed,Chicago,,
2027441,27346,Place Executed,Chicago,,
2027441,27356,Place Executed,Chicago,,
2027441,27562,Place Executed,Chicago,,
2027441,27676,Place Executed,Chicago,,
2027441,28006,Place Executed,Chicago,,
