locationkey,locationtype,description,ispublicvenue,mapimageurl,mapshapetype,mapshapecoords,partof
EC-029-K,room,"East Building, Concourse - Gallery 29K",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png,poly,"426,103,435,100,445,105,446,111,434,116,426,113",3-eb-concourse
EC-029-L,room,"East Building, Concourse - Gallery 29L",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png,poly,"310,66,310,41,321,38,325,40,324,50,337,54,344,65,341,69,331,72,320,68",3-eb-concourse
EC-001,room,"East Building, Concourse - Gallery Lobby",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png,poly,"357,121,381,113,381,121,376,123,375,137,415,151,386,161,386,205,357,193",3-eb-concourse
ebes,room,East Building Education Studio,1,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png,"","",3-eb-concourse
CLA-099,room,"East Building, Concourse - Escalator Lobby",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png,rect,"22,94,46,121",3-eb-concourse
EC-029-M,room,"East Building, Concourse - Gallery 29M",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png,poly,"360,72,391,83,386,90,382,89,381,92,358,83",3-eb-concourse
EC-029-J,room,"East Building, Concourse - Gallery 29J",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png,poly,"328,36,344,41,338,54,324,50",3-eb-concourse
CLA-110,room,"East Building, Concourse - Moving Walkway Tunnel",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png,poly,"220,120,357,172,357,191,215,137",3-eb-concourse
EC-029-O,room,"East Building, Concourse - Gallery 29O",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png,poly,"342,66,360,72,358,78,339,71",3-eb-concourse
wb,building,West Building,1,,,,
2-wb-ground,floor,"West Building, Ground Floor",1,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,,,wb
G-132,room,"West Building, Ground Floor - Fourth Street Escalator Lobby",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"516,81,548,93",2-wb-ground
G-014,room,"West Building, Ground Floor - Gallery 14",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"57,3,78,25",2-wb-ground
G-090,room,"West Building, Ground Floor - North Lobby, Sixth Street",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"267,38,293,69",2-wb-ground
G-039,room,"West Building, Ground Floor - Gallery 39",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"88,92,122,120",2-wb-ground
G-001-B,room,"West Building, Ground Floor - Gallery 1",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"232,48,242,94",2-wb-ground
G-012,room,"West Building, Ground Floor - Gallery 12",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"97,29,117,47",2-wb-ground
G-043,room,"West Building, Ground Floor - Gallery 43",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"232,94,256,118",2-wb-ground
G-015,room,"West Building, Ground Floor - Gallery 15",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"57,26,78,53",2-wb-ground
