1963.10.30,"Faille 1970, no. 788",Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1928,1928,"L'Oeuvre de Vincent Van Gogh, catalogue raisonné",NULL,"Faille, J.-B. de la.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paris and Brussels,NULL,NULL,NULL,1:no. 788; 2:repro.
1963.10.30,"Faille 1970, no. 788",Monograph,http://vocab.getty.edu/aat/300060417,1939,1939,Vincent Van Gogh,NULL,"Faille, J.-B. de la.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York and Paris,NULL,NULL,NULL,"531, no. 788, repro."
1963.10.30,"Faille 1970, no. 788",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1965,1965,Eighteenth and Nineteenth Century Paintings & Sculpture of the French School in the Chester Dale Collection,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"National Gallery of Art, Washington",NULL,NULL,NULL,"129, repro."
1963.10.30,"Faille 1970, no. 788",Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1970,1970,The Works of Vincent van Gogh: Paintings and Drawings,NULL,"Faille, J.-B. de la",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Amsterdam,NULL,NULL,NULL,"no. F788, repro."
1963.10.30,"Faille 1970, no. 788",Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1980,1980,"The Complete Van Gogh: Paintings, drawings, sketches",NULL,"Hulsker, Jan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"472, no. 2055, repro."
1963.10.30,"Faille 1970, no. 788",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1985,1985,European Paintings: An Illustrated Catalogue,NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Washington,NULL,NULL,NULL,"179, repro."
1963.10.30,"Faille 1970, no. 788",Monograph,http://vocab.getty.edu/aat/300060417,1986,1986,Von Böcklin zu Cézanne: Die Rezeption des franszösischen Impressionismus in der deutschen Schweiz,NULL,"Gloor, Lukas",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bern,NULL,NULL,NULL,"135, 281n."
1963.10.30,"Faille 1970, no. 788",Monograph,http://vocab.getty.edu/aat/300060417,1989,1989,Van Gogh,NULL,"Wheldon, Keith",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,London,NULL,NULL,NULL,repro.
1963.10.30,"Faille 1970, no. 788",Essay,http://vocab.getty.edu/aat/300026291,1988,1988,"Vincent van Gogh & Paul Cassirer, Berlin: The reception of Van Gogh in Germany from 1901 to 1914",NULL,"Feilchenfeldt, Walter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Amsterdam,NULL,NULL,NULL,"120, repro."
1963.10.30,"Faille 1970, no. 788",Monograph,http://vocab.getty.edu/aat/300060417,1993,1993,"Kunst, kennis en commercie: de kunsthandelaar J.H. de Bois (1878-1946)",NULL,"Heijbroek, Jan Frederik and E.L. Wouthuysen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Amsterdam,NULL,NULL,NULL,"201, repro."
1963.10.30,"Faille 1970, no. 788",Monograph,http://vocab.getty.edu/aat/300060417,1994,1994,Vincent van Gogh: Sämtliche Gemälde,NULL,"Walther, Ingo F., and Rainer Metzger",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2 vols.,Cologne,NULL,NULL,NULL,2:675.
1963.10.30,"Faille 1970, no. 788",Monograph,http://vocab.getty.edu/aat/300060417,1999,1999,Van Gogh: Provence and Auvers,NULL,"Welsh-Ovcharov, Bogomila.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"281-283, repro. 279"
1963.10.30,"Faille 1970, no. 788",Ph.D. Dissertation,http://vocab.getty.edu/aat/300312076,2005,2005,Richard Kisling (1862-1917): Ein Schweizer Sammler und Kunstvermittler der Moderne,NULL,"Volkart-Baumann, Silvia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,University of Zurich,NULL,NULL,NULL,"56-57, 127."
1963.10.30,"Faille 1970, no. 788",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1965,1965,Summary Catalogue of European Paintings and Sculpture,NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Washington,NULL,NULL,NULL,59.
