1963.10.30,"Faille 1970, no. 788",NULL,NULL,1891,1908,Mme Johanna van Gogh-Bonger,http://vocab.getty.edu/ulan/500073337,NULL
1963.10.30,"Faille 1970, no. 788",NULL,NULL,1908,1908,J. H. de Bois,NULL,NULL
1963.10.30,"Faille 1970, no. 788",NULL,NULL,1908,1917,Richard Kisling,NULL,NULL
1963.10.30,"Faille 1970, no. 788",NULL,NULL,1917,1929,Mme Hedwig Glatt-Kisling,NULL,NULL
1963.10.30,"Faille 1970, no. 788",NULL,NULL,1929,1951,Gallery Max G. Bollag,NULL,NULL
1963.10.30,"Faille 1970, no. 788",NULL,NULL,1951,1963,Chester Dale,http://vocab.getty.edu/ulan/500316446,NULL
1963.10.30,"Faille 1970, no. 788",NULL,NULL,1963,NULL,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,NULL
1963.10.31,"Faille 1970, no. 440",NULL,NULL,NULL,NULL,A. Mak,http://vocab.getty.edu/ulan/500452041,NULL
1963.10.31,"Faille 1970, no. 440",NULL,NULL,NULL,NULL,"Alex Reid & Lefèvre, Ltd",http://vocab.getty.edu/ulan/500434176,NULL
1963.10.31,"Faille 1970, no. 440",NULL,NULL,NULL,NULL,Mme Jules Armand,NULL,NULL
1963.10.31,"Faille 1970, no. 440",NULL,NULL,NULL,1927,Etienne Bignou,http://vocab.getty.edu/ulan/500434173,NULL
1963.10.31,"Faille 1970, no. 440",NULL,NULL,NULL,1927,Hodebert,NULL,NULL
1963.10.31,"Faille 1970, no. 440",NULL,NULL,1927,1927,Kraushaar Galleries,http://vocab.getty.edu/ulan/500435669,NULL
1963.10.31,"Faille 1970, no. 440",NULL,NULL,1927,1963,Chester Dale,http://vocab.getty.edu/ulan/500316446,NULL
1963.10.31,"Faille 1970, no. 440",NULL,NULL,1963,NULL,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,NULL
1963.10.151,"Faille 1970, no. 431",NULL,NULL,NULL,NULL,Jos Hessel,http://vocab.getty.edu/ulan/500439446,NULL
1963.10.151,"Faille 1970, no. 431",NULL,NULL,NULL,NULL,Galerie Georges Bernheim,http://vocab.getty.edu/ulan/500436696,NULL
